Custom table,Dataflow,Dataflow name,Timespan,Last update of data,Downloaded at,Source,Source URL,Download URL,About Consolidated banking statistics
,"BIS,WS_CBS_PUB,1.0",Consolidated banking,2020-03-31 - 2020-12-31,2026-03-16,2026-03-19 14:00 CET,BIS,https://data.bis.org/topics/CBS/data?data_view=table&rows=L_REP_CTY%7CL_CP_COUNTRY&cols=TIME_PERIOD&filter=L_REP_CTY_TXT%3DAustralia%257CAustria%257CBelgium%257CCanada%257CChile%257CFinland%257CFrance%257CGermany%257CGreece%257CIndia%257CIreland%257CItaly%257CJapan%257CNetherlands%257CPortugal%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%257CSpain%255EL_CP_COUNTRY_TXT%3DAustralia%257CAustria%257CBelgium%257CCanada%257CChile%257CFinland%257CFrance%257CGermany%257CGreece%257CIndia%257CIreland%257CItaly%257CJapan%257CKorea%257CNetherlands%257CPortugal%257CSpain%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%255EL_POSITION%3DC%255ECURR_TYPE_BOOK%3DTO1%255EL_INSTR%3DA%255EL_CP_SECTOR%3DA%255EREM_MATURITY%3DA%255EL_MEASURE%3DS%255ECBS_BASIS%3DU%255ECBS_BANK_TYPE%3D4B%255ETIMESPAN%3D2020-01-01_2020-12-31,https://data.bis.org/topics/CBS/data?data_view=table&rows=L_REP_CTY%7CL_CP_COUNTRY&cols=TIME_PERIOD&filter=L_REP_CTY_TXT%3DAustralia%257CAustria%257CBelgium%257CCanada%257CChile%257CFinland%257CFrance%257CGermany%257CGreece%257CIndia%257CIreland%257CItaly%257CJapan%257CNetherlands%257CPortugal%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%257CSpain%255EL_CP_COUNTRY_TXT%3DAustralia%257CAustria%257CBelgium%257CCanada%257CChile%257CFinland%257CFrance%257CGermany%257CGreece%257CIndia%257CIreland%257CItaly%257CJapan%257CKorea%257CNetherlands%257CPortugal%257CSpain%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%255EL_POSITION%3DC%255ECURR_TYPE_BOOK%3DTO1%255EL_INSTR%3DA%255EL_CP_SECTOR%3DA%255EREM_MATURITY%3DA%255EL_MEASURE%3DS%255ECBS_BASIS%3DU%255ECBS_BANK_TYPE%3D4B%255ETIMESPAN%3D2020-01-01_2020-12-31&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/CBS

Reporting country,Counterparty country,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Ireland,United Kingdom,66740.591,62287.678,59539.806,59901.928
Ireland,United States,8318.088,8481.382,8742.87,8971.897
Italy,Australia,1861.628,1699.999,1404.226,1760.408
Italy,Austria,114686.801,105095.519,97914.776,82299.444
Italy,Belgium,9130.025,9960.105,11084.341,9217.247
Italy,Canada,2768.029,2602.788,2451.742,2453.654
Italy,Chile,435.117,497.675,569.131,495.334
Italy,Finland,2346.248,2455.207,2500.354,2515.387
Italy,France,71454.024,67837.207,63237.964,58366.047
Italy,Germany,234096.363,221571.994,189090.961,189439.295
Italy,Greece,1420.038,1101.909,1402.688,3574.599
Italy,India,1782.914,1450.389,1662.259,1885.318
Italy,Ireland,18260.05,16552.979,14852.586,12523.619
Italy,Italy,3022557.172,2833290.764,2658308.325,2495223.827
Italy,Japan,17661.411,17833.74,17890.386,17906.678
Italy,Korea,1655.787,1664.853,1422.285,1240.347
Italy,Netherlands,27774.914,25399.11,19905.419,19056.153
Italy,Portugal,7965.789,7847.464,8753.806,6620.434
Italy,Spain,87685.129,89610.774,90130.046,80209.005
Italy,Sweden,2307.89,2274.317,2135.489,2018.158
Italy,Switzerland,18023.072,18935.526,19413.508,20075.986
Italy,Türkiye,6676.879,6252.661,6728.932,8409.59
Italy,United Kingdom,46603.991,45291.958,44533.284,46413.144
Italy,United States,54944.227,53726.514,59188.191,68998.459
Japan,Australia,156124.0,142269.7,138183.6,116668.6
Japan,Austria,7829.5,7111.7,6054.8,6596.8
Japan,Belgium,47313.1,48148.0,40395.4,35717.4
Japan,Canada,91979.3,84188.9,80413.2,76550.8
Japan,Chile,6686.5,7045.4,7208.4,7919.9
Japan,Finland,7849.2,7398.9,6920.7,6959.2
Japan,France,218725.7,202260.5,198555.4,202641.8
Japan,Germany,143404.9,133322.7,131691.4,126467.8
Japan,Greece,928.2,248.1,254.2,282.5
Japan,India,42939.7,41811.5,43012.7,43840.3
Japan,Ireland,63161.2,58695.1,54110.5,53130.8
Japan,Italy,53702.0,48903.5,40773.3,36751.1
Japan,Japan,19111969.081,18407976.016,17525680.239,16853265.152
Japan,Korea,55384.5,54324.2,56288.5,54437.8
Japan,Netherlands,75550.2,74606.4,72042.9,72623.8
Japan,Portugal,1572.3,1368.6,1195.9,1226.3
Japan,Spain,47646.1,44557.3,41792.5,39324.6
Japan,Sweden,14514.1,13343.3,13323.4,13477.4
Japan,Switzerland,36382.5,35722.8,36397.1,38107.9
Japan,Türkiye,6177.7,6096.1,6272.0,6647.4
Japan,United Kingdom,236755.3,219267.8,208490.2,206348.0
Japan,United States,1970799.6,1928243.3,1929574.4,2083964.4
Netherlands,Australia,82942.665,76569.867,74212.364,65841.531
