"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","ProductDescription","Quantity","NetWeight in KGM"
"H4","HRV","1001","Croatia","NLD","Netherlands",2018,"Import",5,0.325,"Wheat and meslin.",100,100
"H4","HRV","1001","Croatia","ROM","Romania",2018,"Export",6,329.979,"Wheat and meslin.",641976,641976
"H4","HRV","1001","Croatia","ROM","Romania",2018,"Import",5,14.294,"Wheat and meslin.",46560,46560
"H4","HRV","1001","Croatia","SVK","Slovak Republic",2018,"Export",6,21.627,"Wheat and meslin.",42920,42920
"H4","HRV","1001","Croatia","SVK","Slovak Republic",2018,"Import",5,7.806,"Wheat and meslin.",16000,16000
"H4","HRV","1001","Croatia","SVN","Slovenia",2018,"Export",6,7354.742,"Wheat and meslin.",36094204.85,36094205
"H4","HRV","1001","Croatia","SVN","Slovenia",2018,"Import",5,410.357,"Wheat and meslin.",2030955,2030955
"H4","HRV","1006","Croatia","AUT","Austria",2018,"Import",5,224.436,"Rice.",136878.3,136878
"H4","HRV","1006","Croatia","BGR","Bulgaria",2018,"Export",6,17.924,"Rice.",28807,28807
"H4","HRV","1006","Croatia","BGR","Bulgaria",2018,"Import",5,14.597,"Rice.",23000,23000
"H4","HRV","1006","Croatia","CZE","Czech Republic",2018,"Import",5,478.365,"Rice.",450691.52,450692
"H4","HRV","1006","Croatia","DEU","Germany",2018,"Export",6,0.26,"Rice.",71.75,72
"H4","HRV","1006","Croatia","DEU","Germany",2018,"Import",5,233.125,"Rice.",93396.83,93397
"H4","HRV","1006","Croatia","ESP","Spain",2018,"Import",5,8.809,"Rice.",10080,10080
"H4","HRV","1006","Croatia","GRC","Greece",2018,"Import",5,0.091,"Rice.",75,75
"H4","HRV","1006","Croatia","HUN","Hungary",2018,"Export",6,0.055,"Rice.",35,35
"H4","HRV","1006","Croatia","HUN","Hungary",2018,"Import",5,16.899,"Rice.",7235.76,7236
"H4","HRV","1006","Croatia","ITA","Italy",2018,"Export",6,7.775,"Rice.",4960,4960
"H4","HRV","1006","Croatia","ITA","Italy",2018,"Import",5,5414.021,"Rice.",5150929.6,5150930
"H4","HRV","1006","Croatia","LUX","Luxembourg",2018,"Export",6,0.088,"Rice.",110,110
"H4","HRV","1006","Croatia","LVA","Latvia",2018,"Export",6,1.394,"Rice.",2000,2000
"H4","HRV","1006","Croatia","LVA","Latvia",2018,"Import",5,0.719,"Rice.",100,100
"H4","HRV","1006","Croatia","NLD","Netherlands",2018,"Export",6,2.946,"Rice.",2312,2312
"H4","HRV","1006","Croatia","NLD","Netherlands",2018,"Import",5,106.6,"Rice.",76935.52,76936
"H4","HRV","1006","Croatia","POL","Poland",2018,"Export",6,1.507,"Rice.",1637.5,1638
"H4","HRV","1006","Croatia","POL","Poland",2018,"Import",5,153.29,"Rice.",129498.26,129498
"H4","HRV","1006","Croatia","ROM","Romania",2018,"Import",5,57.745,"Rice.",46714,46714
"H4","HRV","1006","Croatia","SVK","Slovak Republic",2018,"Export",6,0.149,"Rice.",125.6,126
"H4","HRV","1006","Croatia","SVN","Slovenia",2018,"Export",6,86.396,"Rice.",28316.55,28317
"H4","HRV","1006","Croatia","SVN","Slovenia",2018,"Import",5,2042.455,"Rice.",1474099.8,1474100
"H4","HRV","1006","Croatia","SWE","Sweden",2018,"Export",6,0.015,"Rice.",11,11
"H4","HUN","0207","Hungary","AUT","Austria",2018,"Export",6,87938.288,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","AUT","Austria",2018,"Import",5,16628.345,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","BEL","Belgium",2018,"Export",6,35276.712,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","BEL","Belgium",2018,"Import",5,3000.222,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","BGR","Bulgaria",2018,"Export",6,8860.439,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","BGR","Bulgaria",2018,"Import",5,401.278,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","CYP","Cyprus",2018,"Export",6,526.695,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","CYP","Cyprus",2018,"Import",5,5.442,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","CZE","Czech Republic",2018,"Export",6,22398.343,"Meat and edible offal, of the poult",0,0
